slate_date,contest_name,contest_entry,contest_entries,lineup_id,pos,team,name,salary,proj,proj_own,own,actual,proj_minutes,actual_minutes,error
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,SG,MEM,Javon Small,4700,27.71,8.0,21.5,25.0,27.0,17.9,2.710000000000001
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,SF,CLE,Jaylon Tyson,5600,31.25,24.0,26.5,27.0,33.0,19.3,4.25
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,PF,CLE,Evan Mobley,8300,32.35,3.5,2.9,50.5,28.0,36.1,18.15
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,C,MEM,Daniel Gafford,4400,28.91,32.0,29.8,23.25,27.0,16.6,5.66
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,G,MEM,Max Christie,4800,29.07,12.0,11.4,17.75,32.0,12.7,11.32
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,F,MEM,Olivier-Maxence Prosper,4800,26.63,14.0,13.0,40.0,24.5,28.6,13.370000000000001
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,8,UTIL,DEN,Nikola Jokic,12300,63.9,26.0,24.6,71.25,35.0,38.0,7.350000000000001
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,PG,CLE,Dennis Schroder,5100,31.31,30.0,32.9,26.75,32.0,19.1,4.559999999999999
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,SG,MEM,AJ Johnson,3000,16.91,6.0,5.1,21.25,23.5,15.2,4.34
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,SF,DET,Ausar Thompson,5200,22.54,6.0,5.5,41.0,25.0,29.3,18.46
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,PF,MEM,Olivier-Maxence Prosper,4800,26.63,14.0,13.0,40.0,24.5,28.6,13.370000000000001
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,C,DEN,Nikola Jokic,12300,63.9,26.0,24.6,71.25,35.0,38.0,7.350000000000001
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,G,DEN,Christian Braun,5300,22.77,2.0,1.4,42.0,32.0,30.0,19.23
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,F,CLE,Jaylon Tyson,5600,31.25,24.0,26.5,27.0,33.0,19.3,4.25
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,9,UTIL,OKC,Jamal Murray,8700,39.45,2.5,1.9,66.5,34.0,38.0,27.049999999999997
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,PG,NYK,Jose Alvarado,3500,20.34,3.5,2.9,19.5,21.5,13.9,0.8399999999999999
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,SG,BOS,Jaylen Brown,9800,44.84,10.0,9.3,57.25,33.0,38.0,12.409999999999997
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,SF,DET,Ausar Thompson,5200,22.54,6.0,5.5,41.0,25.0,29.3,18.46
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,PF,DET,Ronald Holland,4000,15.0,4.0,3.4,16.25,25.0,12.0,1.25
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,C,BOS,Nikola Vucevic,6300,24.98,1.0,0.7,52.25,23.0,37.3,27.27
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,G,MEM,Cam Spencer,5000,23.28,1.5,1.0,36.0,22.0,25.7,12.719999999999999
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,F,CLE,Evan Mobley,8300,32.35,3.5,2.9,50.5,28.0,36.1,18.15
2026-02-27,$8 NBA $200K Friday 8s,$8,29411,10,UTIL,DET,Jalen Duren,7900,37.46,15.0,14.9,67.0,29.5,38.0,29.54
