PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
16852,"Giannis Antetokounmpo",,,MIL,UTA,162847,739957,,28,25.55,9.11,5.73,0.28,3.05,0.74,0.53,31.28,34.66,40.39,1.27,14.84,14.35,8.79,0.92,11.12,7.13,15.27,9.07,45.84,45.84,47.18,38.07,56.89,5.64,5.64,0,37.85,43.03,47.18,50.81,56.77,58.85,69.99,10.53%,134,149,SAT,12485,119,16852,
18617,"Gary Harris",,,MIL,UTA,162847,712593,,1,0.21,0.09,0.1,0.05,0.03,0.06,0.01,0.31,0.3,0.4,0.07,0.19,0.05,0.02,0.13,0.02,0.01,0.18,0.07,0.65,0.65,0.62,0.62,0.62,0,0,0,0.27,0.44,0.62,0.8,1.06,1.13,1.18,0.44%,134,149,SAT,12531,120,18617,
18909,"Bobby Portis",,,MIL,UTA,162847,750703,,24,13.83,5.56,1.67,1.95,0.97,0.63,0.3,15.5,19.39,21.06,0.93,7.23,7.12,3.54,4.57,1.19,0.92,11.69,5.49,24.83,24.83,25.67,18.37,33.9,15.33,15.33,0,18.41,22.56,25.67,28.78,33.97,35.81,45.64,17.62%,134,149,SAT,12075,121,18909,
18915,"Myles Turner",,,MIL,UTA,162847,843762,,21.5,9.7,4.26,1.08,1.45,0.86,0.67,1.47,10.78,13.96,15.04,2.14,5.34,3.53,1.68,3.75,2.59,1.98,7.28,3.13,21.99,21.99,21.22,14.65,28.55,1.39,1.39,0,14.57,18.41,21.22,24.29,28.63,30.68,39.63,0.05%,134,149,SAT,12071,122,18915,
37886,"Kyle Kuzma",,,MIL,UTA,162847,844476,,22,10.83,3.64,2.36,1.04,1.44,0.41,0.16,13.19,14.47,16.83,0.57,6,6.26,2.94,3.15,2.65,1.82,9.41,3.98,19.01,19.01,19.86,13.59,26.91,2.3,2.3,0,13.33,16.99,19.86,22.47,26.65,28.48,35.8,0.23%,134,149,SAT,38296,126,37886,
409320,"Gary Trent Jr.",,,MIL,UTA,162847,1060908,,2,0.93,0.08,0.05,0.2,0.06,0.01,0,0.98,1.01,1.06,0.01,0.13,0.29,0.12,0.52,0.12,0.1,0.81,0.32,1.07,1.07,1.2,1.2,1.2,0,0,0,0.51,0.86,1.2,1.54,2.06,2.19,2.29,0.05%,134,149,SAT,70597,127,409320,
3005097,"Cam Thomas",,,MIL,UTA,162847,1232020,,18.5,12.08,1.79,2.1,1.26,1.3,0.18,0.28,14.18,13.87,15.97,0.46,3.89,5.98,2.54,3.76,3.72,3.23,9.74,3.8,17.46,17.46,18.37,12.26,25.34,4.7,4.7,0,12.16,15.78,18.37,20.96,25.36,26.91,34.15,3.73%,134,149,SAT,149404,129,3005097,
3005115,"Jericho Sims",,,MIL,UTA,162847,1071933,,23,5.1,6.47,1.61,0,1.32,0.31,0.5,6.71,11.57,13.18,0.81,8.08,2.92,2.23,0,0.98,0.63,2.92,2.23,16.39,16.39,16.57,11.27,22.4,0.43,0.43,0,11.22,14.16,16.57,18.71,22.45,23.81,30.73,0.05%,134,149,SAT,71367,130,3005115,
3583672,"AJ Green",,,MIL,UTA,162847,1141111,,28.5,9.68,2.35,1.47,2.81,0.76,0.51,0.15,11.15,12.03,13.5,0.66,3.82,0.94,0.38,6.66,0.61,0.5,7.6,3.19,15.93,15.93,17.17,10.44,24.38,1.44,1.44,0,10.04,14,17.17,20.08,25.09,26.94,35.66,0.51%,134,149,SAT,89684,131,3583672,
3588099,"Ousmane Dieng",,,MIL,UTA,162847,1375876,,26,10.49,3.81,2.66,2.01,1.19,1.01,0.48,13.15,14.3,16.96,1.49,6.47,4.38,1.81,5.59,1.08,0.84,9.97,3.82,22.33,22.33,22.64,15.77,30.21,36.22,36.22,0,15.84,19.55,22.64,25.49,30.19,31.92,39.84,40.73%,134,149,SAT,195262,132,3588099,
3588137,"Ryan Rollins",,,MIL,UTA,162847,1232221,,34.5,19.31,4.61,6.72,2.8,2.87,1.34,0.39,26.03,23.92,30.64,1.73,11.33,9.47,4.47,6.87,2.56,1.97,16.34,7.27,37.24,37.24,38.74,29.57,48.72,17.68,17.68,0,29.38,34.58,38.74,42.64,48.62,51.22,62.14,20.43%,134,149,SAT,149956,133,3588137,
5244831,"Pete Nance",,,MIL,UTA,162847,1133861,,11,4.82,0.8,0.49,1.09,0.64,0.11,0.09,5.31,5.62,6.11,0.2,1.29,1.38,0.75,2.42,0.06,0.03,3.8,1.84,6.48,6.48,7.18,2.94,12.55,0,0,0,2.93,5.32,7.18,9.04,12.23,13.83,20.21,0.44%,134,149,SAT,72363,135,5244831,
16935,"Rudy Gobert",,,MIN,ORL,162843,739960,,31,11.16,11.98,1.44,0,1.4,0.61,1.38,12.6,23.14,24.58,1.99,13.42,6.03,4.14,0,5,2.88,6.03,4.14,32.27,32.27,32.28,24.75,40.3,0,0,0,24.83,28.8,32.28,35.51,40.23,42.21,50.16,0.00%,146,138,SAT,12475,140,16935,
18615,"Kyle Anderson",,,MIN,ORL,162843,697720,,14,3.67,1.77,1.57,0.17,0.8,0.66,0.14,5.24,5.44,7.01,0.8,3.34,2.42,1.28,0.44,0.85,0.6,2.86,1.45,9.75,9.75,9.52,5.49,14.17,0,0,0,5.51,7.77,9.52,11.27,14.03,15.28,20.55,0.00%,146,138,SAT,12549,141,18615,
18632,"Julius Randle",,,MIN,ORL,162843,786412,,33,18.61,7.22,4.83,1.46,2.44,0.74,0.37,23.44,25.83,30.66,1.11,12.05,9.51,4.49,4.43,6.39,5.23,13.94,5.95,35.41,35.41,36.94,28.75,45.97,0,0,0,28.9,33.42,36.94,40.46,45.99,48,57.55,0.00%,146,138,SAT,12553,143,18632,
408950,"Donte DiVincenzo",,,MIN,ORL,162843,887915,,30,10.84,3.92,4.05,2.51,1.67,1.39,0.2,14.89,14.76,18.81,1.59,7.97,2.76,1.2,6.45,1.16,0.89,9.21,3.71,24.72,24.72,25.43,17.93,33.82,0,0,0,17.72,22.09,25.43,28.77,33.91,35.96,45.47,0.00%,146,138,SAT,72401,144,408950,
1151038,"Naz Reid",,,MIN,ORL,162843,1137200,,23.5,10.45,5.53,2.1,1.77,1.44,0.92,0.79,12.55,15.98,18.08,1.71,7.63,4.36,1.99,4.62,1.56,1.15,8.98,3.76,23.93,23.93,24.13,17.2,32.03,0,0,0,17.09,21.11,24.13,27.15,32.17,34.18,42.98,0.00%,146,138,SAT,72075,145,1151038,
2439478,"Anthony Edwards",,,MIN,ORL,162843,1175367,,35.5,28.74,5.33,3.53,3.68,3.39,1.34,0.65,32.27,34.07,37.6,1.99,8.86,11.86,5.64,9.47,7.97,6.41,21.33,9.32,43.01,43.01,44.88,34.98,55.5,0,0,0,34.94,40.55,44.88,48.96,55.33,58.14,69.87,0.00%,146,138,SAT,89824,146,2439478,
2439585,"Jaden McDaniels",,,MIN,ORL,162843,1177013,,32.5,14.51,4.61,2.4,1.47,2.01,1.06,1.19,16.91,19.12,21.52,2.25,7.01,7.74,4.05,3.86,2.4,1.99,11.6,5.52,28.38,28.38,28.13,20.87,36.21,0,0,0,20.61,24.98,28.13,31.28,36.13,38.07,46.56,0.00%,146,138,SAT,90781,147,2439585,
3005172,"Ayo Dosunmu",,,MIN,ORL,162843,1133782,,25.5,12.38,2.45,2.64,1.57,1.04,0.63,0.22,15.02,14.83,17.47,0.85,5.09,5.92,3,3.93,1.98,1.67,9.85,4.57,20.79,20.79,21.37,14.75,28.77,0,0,0,14.68,18.28,21.37,24.2,28.84,30.64,39.4,0.00%,146,138,SAT,72047,148,3005172,
3005452,"Bones Hyland",,,MIN,ORL,162843,1178199,,13,5.3,1.67,2.15,1.07,0.63,0.63,0.17,7.45,6.97,9.12,0.8,3.82,1.74,0.75,2.82,0.78,0.59,4.56,1.82,12.3,12.3,12.43,7.36,18.3,0,0,0,7.36,10.15,12.43,14.71,18.26,19.79,26.13,0.00%,146,138,SAT,88199,149,3005452,
4878238,"Julian Phillips",,,MIN,ORL,162843,1405696,,0.5,0.19,0.03,0,0.03,0.02,0.03,0,0.19,0.22,0.22,0.03,0.03,0.08,0.03,0.09,0.04,0.04,0.17,0.06,0.3,0.3,0.29,0.29,0.29,0,0,0,0.12,0.21,0.29,0.37,0.5,0.53,0.55,0.00%,146,138,SAT,244990,151,4878238,
4878487,"Jaylen Clark",,,MIN,ORL,162843,1231198,,0.5,0.2,0.06,0.01,0.02,0.02,0.03,0,0.21,0.26,0.27,0.03,0.07,0.1,0.04,0.06,0.07,0.04,0.16,0.06,0.36,0.36,0.35,0.35,0.35,0,0,0,0.15,0.25,0.35,0.45,0.6,0.64,0.67,0.00%,146,138,SAT,149761,152,4878487,
6413059,"Terrence Shannon",,,MIN,ORL,162843,1182148,,0.5,0.14,0.02,0.01,0.01,0.02,0.01,0,0.15,0.16,0.17,0.01,0.03,0.08,0.03,0.03,0.04,0.03,0.11,0.04,0.19,0.19,0.2,0.2,0.2,0,0,0,0.09,0.14,0.2,0.26,0.34,0.36,0.38,0.00%,146,138,SAT,91771,155,6413059,
8998465,"Joan Beringer",,,MIN,ORL,162843,1590552,,0.5,0.2,0.11,0.03,0.02,0.03,0.01,0.01,0.23,0.31,0.34,0.02,0.14,0.12,0.06,0.06,0.05,0.03,0.18,0.08,0.41,0.41,0.42,0.42,0.42,0,0,0,0.18,0.3,0.42,0.54,0.72,0.77,0.8,0.00%,146,138,SAT,622356,157,8998465,
408990,"Shai Gilgeous-Alexander",,,OKC,GSW,162848,1067856,,33.5,31.54,4.9,7.07,1.82,2.48,1.66,0.58,38.61,36.44,43.51,2.24,11.97,15.38,8.14,4.94,11.03,9.8,20.32,9.96,52.27,52.27,52.58,42.68,63.14,30.27,30.27,0,42.69,48.42,52.58,56.48,63.25,65.86,77.57,25.93%,148,150,SAT,75300,162,408990,
570179,"Kenrich Williams",,,OKC,GSW,162848,843742,,22,7.79,4.53,2.18,1.27,1.64,1.01,0.16,9.97,12.32,14.5,1.17,6.71,3.62,1.68,3.26,0.93,0.63,6.88,2.95,18.37,18.37,18.89,12.86,25.62,9.85,9.85,0,12.76,16.19,18.89,21.34,25.27,27.23,35.82,9.63%,148,150,SAT,76838,164,570179,
1153418,"Lu Dort",,,OKC,GSW,162848,1134693,,29.5,9.57,3.98,1.69,2.24,0.95,1.24,0.28,11.26,13.55,15.24,1.52,5.67,2.48,0.98,6.05,1.14,0.88,8.53,3.22,20.49,20.49,20.77,14.12,28.29,9.83,9.83,0,14.34,17.8,20.77,23.49,28.19,29.92,38.33,6.09%,148,150,SAT,87396,165,1153418,
