PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
17121,"CJ McCollum",,,ATL,PHI,162845,522878,-,29,17.36,3.03,3.68,2.45,1.55,0.77,0.57,21.04,20.39,24.07,1.34,6.71,8.76,3.9,6.34,2.86,2.21,15.1,6.35,28.99,28.99,29.8,21.86,38.51,5.73,5.73,0,21.9,25.98,29.8,33.37,38.71,40.75,50.69,5.56%,135,128,SAT,12451,1,17121,
574538,"Gabe Vincent",,,ATL,PHI,162845,851253,-,3.5,1,0.19,0.39,0.26,0.07,0.13,0.02,1.39,1.19,1.58,0.15,0.58,0.25,0.09,0.76,0.06,0.05,1.01,0.35,2.19,2.19,2.22,0.37,4.48,0,0,0,0,1.85,2.22,4.44,7.4,8.14,14.06,0.46%,135,128,SAT,73848,3,574538,
1115445,"Nickeil Alexander-Walker",,,ATL,PHI,162845,1067668,-,33,17.44,2.9,3.77,2.76,1.77,0.95,0.53,21.21,20.34,24.11,1.48,6.67,7.28,3.12,7.27,3.38,2.91,14.55,5.88,29.25,29.25,30.18,22.17,39.16,1.84,1.84,0,21.88,26.66,30.18,33.45,38.98,41.25,50.55,2.40%,135,128,SAT,69666,4,1115445,
2439277,"Onyeka Okongwu",,,ATL,PHI,162845,1185367,,31,15.45,8.16,3.08,1.6,1.66,0.9,0.95,18.53,23.61,26.69,1.85,11.24,8.01,4.16,4.3,3.04,2.32,12.31,5.76,33.75,33.75,34.22,26.12,43.17,6.42,6.42,0,26.23,30.72,34.22,37.72,42.96,44.96,54.7,3.50%,135,128,SAT,91845,5,2439277,
3005263,"Jalen Johnson",,,ATL,PHI,162845,1230356,,35,22.04,9.63,6.87,1.65,3.12,1.29,0.5,28.91,31.67,38.54,1.79,16.5,13.3,6.3,4.89,5.87,4.49,18.19,7.95,46.15,46.15,47.86,38.11,58.32,8.54,8.54,0,38.02,43.87,47.86,51.85,58.23,60.36,71.52,21.08%,135,128,SAT,165214,6,3005263,
3005340,"Corey Kispert",,,ATL,PHI,162845,1077554,,15,6.9,1.84,1.26,1.25,0.61,0.27,0.21,8.16,8.74,10,0.48,3.1,2.31,1.1,3.29,1.19,0.95,5.6,2.35,11.83,11.83,12.37,7.1,18.57,0.22,0.22,0,7.11,10,12.37,14.74,18.42,20,27.37,0.51%,135,128,SAT,72585,7,3005340,
3007111,"Jonathan Kuminga",,,ATL,PHI,162845,1271708,,25,13.41,6.16,2.75,1.03,1.98,1.28,0.32,16.16,19.57,22.32,1.6,8.91,7.22,3.46,3.08,4.72,3.4,10.3,4.49,27.75,27.75,28.03,20.75,36.03,9.11,9.11,0,20.83,24.69,28.03,31.12,35.74,37.8,46.55,12.98%,135,128,SAT,165213,8,3007111,
3012652,"Jock Landale",,,ATL,PHI,162845,850308,,16.5,7.98,4.22,1.33,0.68,0.47,0.38,0.52,9.31,12.2,13.53,0.9,5.55,4.51,2.32,1.72,1.85,1.28,6.23,3,17.27,17.27,17.16,11.56,23.56,1.48,1.48,0,11.44,14.56,17.16,19.5,23.4,25.22,32.76,0.22%,135,128,SAT,74198,9,3012652,
3587993,"Dyson Daniels",,,ATL,PHI,162845,1357745,,30,9.26,6.09,5.43,0.38,1.36,1.6,0.39,14.69,15.35,20.78,1.99,11.52,7.14,3.64,1.49,1.41,0.84,8.63,4.02,29.32,29.32,28.57,21.62,36.28,5.55,5.55,0,21.68,25.51,28.57,31.38,35.71,37.75,46.94,7.25%,135,128,SAT,195261,12,3587993,
4878163,"Mouhamed Gueye",,,ATL,PHI,162845,1325101,,1,0.21,0.24,0.04,0.02,0.02,0.06,0.03,0.25,0.45,0.49,0.09,0.28,0.11,0.05,0.07,0.05,0.04,0.18,0.07,0.81,0.81,0.75,0.75,0.75,0,0,0,0.32,0.54,0.75,0.96,1.29,1.37,1.43,0.05%,135,128,SAT,180180,14,4878163,
6412725,"Zaccharie Risacher",,,ATL,PHI,162845,1432544,,21,7.09,3.71,1.09,1.05,0.59,0.65,0.48,8.18,10.8,11.89,1.13,4.8,3.59,1.55,3.01,1.27,0.83,6.6,2.6,15.98,15.98,15.85,10.28,22.23,1.44,1.44,0,10.48,13.55,15.85,18.41,22.24,24.03,31.96,1.30%,135,128,SAT,368366,16,6412725,
409154,"Michael Porter Jr.",,,BKN,DET,162844,1061724,,31.5,22.12,5.61,2.75,3.41,2.37,0.67,0.28,24.87,27.73,30.48,0.95,8.36,9.35,4.34,8.98,3.87,3.2,18.33,7.75,33.46,33.46,35.78,26.99,45.53,7.6,7.6,0,27.29,32.18,35.78,39.9,46.08,48.39,59.2,8.93%,126,132,SAT,75295,21,409154,
1115132,"Nic Claxton",,,BKN,DET,162844,1061682,,28,12.04,6.23,3.35,0.05,1.13,0.64,0.93,15.39,18.27,21.62,1.57,9.58,8.46,4.9,0.24,3.65,2.07,8.7,4.95,28.12,28.12,27.55,20.83,34.94,13.51,13.51,0,20.85,24.57,27.55,30.28,35,36.73,45.42,12.26%,126,132,SAT,71024,22,1115132,
1115590,"Terance Mann",,,BKN,DET,162844,879504,,25.5,7.54,2.42,2.8,0.9,1.56,0.53,0.25,10.34,9.96,12.76,0.78,5.22,3.71,1.89,2.37,1.32,1.05,6.08,2.79,15.42,15.42,16,10.43,22.38,4.64,4.64,0,10.63,13.71,16,18.54,22.6,23.87,31.24,2.05%,126,132,SAT,74628,23,1115590,
3005094,"Day'Ron Sharpe",,,BKN,DET,162844,1243725,,19,8.65,6.28,2.13,0.17,1.57,0.7,0.46,10.78,14.93,17.06,1.16,8.41,5.65,3.18,0.78,2.63,1.79,6.43,3.35,21.29,21.29,21.37,15.45,27.97,1.22,1.22,0,15.52,18.83,21.37,23.91,27.98,29.77,37.4,0.22%,126,132,SAT,148967,24,3005094,
3005396,"Ziaire Williams",,,BKN,DET,162844,1231313,,24,8.13,2.3,0.98,1.37,0.97,1.11,0.36,9.11,10.43,11.41,1.47,3.28,2.8,1.16,4.19,2.01,1.7,6.99,2.53,15.8,15.8,15.62,9.91,22.26,1.16,1.16,0,9.99,13.06,15.62,18.44,22.28,24.07,32.01,0.34%,126,132,SAT,149033,25,3005396,
3587751,"Ochai Agbaji",,,BKN,DET,162844,1132831,,6.5,1.93,1.01,0.44,0.26,0.23,0.08,0.09,2.37,2.94,3.38,0.17,1.45,1.02,0.48,0.8,0.24,0.18,1.82,0.74,4.08,4.08,4.21,1.33,7.83,0,0,0,1.32,2.89,4.21,5.53,7.63,8.68,13.16,0.34%,126,132,SAT,72696,27,3587751,
3588057,"Josh Minott",,,BKN,DET,162844,1324299,,10,3.08,1.17,0.53,0.52,0.49,0.56,0.3,3.61,4.25,4.78,0.86,1.7,1.19,0.56,1.32,0.49,0.39,2.51,1.08,7.37,7.37,7.07,3.33,11.8,0,0,0,3.4,5.5,7.07,8.9,11.78,13.09,18.59,0.05%,126,132,SAT,179736,29,3588057,
4878197,"Noah Clowney",,,BKN,DET,162844,1401380,,27.5,11.04,3.98,1.51,1.95,1.1,0.69,0.58,12.55,15.02,16.53,1.27,5.49,3.21,1.32,5.77,3.19,2.53,8.98,3.27,20.79,20.79,21.25,14.65,28.72,7.19,7.19,0,14.5,18.25,21.25,24,28.5,30.5,39.5,4.04%,126,132,SAT,244975,31,4878197,
4878198,"Jalen Wilson",,,BKN,DET,162844,1174884,,2,0.72,0.26,0.09,0.12,0.07,0.06,0.01,0.81,0.98,1.07,0.07,0.35,0.27,0.1,0.35,0.19,0.15,0.62,0.22,1.31,1.31,1.35,0.37,2.57,0,0,0,0,0,1.35,2.03,4.73,4.73,9.45,0.24%,126,132,SAT,90541,32,4878198,
8985499,"Danny Wolf",,,BKN,DET,162844,1415928,,21,9.13,4.39,2.15,1.31,1.42,0.44,0.61,11.28,13.52,15.67,1.05,6.54,4.39,1.83,4.09,2.04,1.55,8.48,3.14,19.35,19.35,19.9,13.73,26.93,6.67,6.67,0,13.85,17.13,19.9,22.67,26.7,28.72,36.78,3.92%,126,132,SAT,247158,36,8985499,
8998169,"Ben Saraf",,,BKN,DET,162844,1590554,,18.5,5.22,1.43,2.81,0.53,1.63,0.65,0.12,8.03,6.65,9.46,0.77,4.24,3.21,1.15,2.2,1.75,1.33,5.41,1.68,11.83,11.83,12.21,7.44,17.69,0.95,0.95,0,7.48,9.97,12.21,14.2,17.44,18.69,25.17,0.44%,126,132,SAT,622358,37,8998169,
8998170,"Nolan Traore",,,BKN,DET,162844,1590550,,26.5,10.45,1.82,3.96,1.21,2.5,0.73,0.45,14.41,12.27,16.23,1.18,5.78,6.28,2.55,3.76,2.18,1.71,10.04,3.76,19.61,19.61,20.39,14.04,27.47,3.7,3.7,0,14.17,17.65,20.39,23.13,27.6,29.59,38.04,1.96%,126,132,SAT,622357,38,8998170,
13332,"Tobias Harris",,,DET,BKN,162844,552523,,30,12.31,5,1.99,1.24,0.89,1.28,0.36,14.3,17.31,19.3,1.64,6.99,7.14,3.2,3.57,2.54,2.21,10.71,4.44,25.33,25.33,25.04,18.24,32.57,4.55,4.55,0,18.1,21.82,25.04,28.02,32.73,34.71,42.39,2.67%,132,126,SAT,12337,39,13332,
35192,"Caris LeVert",,,DET,BKN,162844,698991,,18.5,5.75,1.6,2.88,0.79,1.1,0.9,0.57,8.63,7.35,10.23,1.47,4.48,2.79,1.16,2.3,1.49,1.06,5.09,1.95,15.3,15.3,14.86,9.59,20.89,1.57,1.57,0,9.66,12.63,14.86,17.09,21.05,22.54,28.98,0.17%,132,126,SAT,28032,40,35192,
408969,"Kevin Huerter",,,DET,BKN,162844,944785,,15.5,5.05,2.56,1.01,0.81,0.41,0.65,0.32,6.06,7.61,8.62,0.97,3.57,2.53,1.11,2.52,0.54,0.39,5.05,1.92,12.14,12.14,11.91,7.12,17.56,0.06,0.06,0,7.1,9.88,11.91,14.19,17.74,19.26,26.1,0.39%,132,126,SAT,70259,42,408969,
555145,"Duncan Robinson",,,DET,BKN,162844,854591,,27.5,12.36,2.54,2.16,3.06,0.62,0.56,0.33,14.52,14.9,17.06,0.89,4.7,2.53,1.08,7.86,1.27,1.03,10.39,4.14,20.7,20.7,21.78,14.58,29.96,10.94,10.94,0,14.44,18.49,21.78,24.82,29.88,31.91,40.78,8.91%,132,126,SAT,74104,43,555145,
1193057,"Javonte Green",,,DET,BKN,162844,624174,,15,5.07,2.35,0.55,0.74,0.37,0.91,0.24,5.62,7.42,7.97,1.15,2.9,2.01,0.89,2.13,1.35,1.07,4.14,1.63,11.8,11.8,11.32,6.68,16.81,0.03,0.03,0,6.54,9.31,11.32,13.33,16.6,18.11,24.65,0.05%,132,126,SAT,92980,44,1193057,
2439153,"Paul Reed",,,DET,BKN,162844,1076238,,4.5,2.14,1.44,0.35,0.08,0.21,0.25,0.27,2.49,3.58,3.93,0.52,1.79,1.36,0.78,0.23,0.49,0.33,1.59,0.86,5.74,5.74,5.44,2.48,9.14,0,0,0,2.59,4.14,5.44,6.99,9.07,10.1,14.51,0.49%,132,126,SAT,73899,45,2439153,
2439495,"Isaiah Stewart",,,DET,BKN,162844,1177050,,20,8.33,4.36,1.11,0.59,0.72,0.52,1.21,9.44,12.69,13.8,1.73,5.47,4.49,2.47,1.72,2.08,1.6,6.21,3.06,19.7,19.7,18.84,12.99,25.41,1.89,1.89,0,12.81,16.08,18.84,21.1,25.12,26.88,33.66,0.11%,132,126,SAT,90783,46,2439495,
3005207,"Cade Cunningham",,,DET,BKN,162844,1232182,Q,35.5,24.26,5.76,9.74,2,3.83,1.45,0.73,34,30.02,39.76,2.18,15.5,14.07,6.41,5.8,6.56,5.45,19.87,8.41,48.49,48.49,50.09,40.05,60.86,5.06,5.06,0,40.12,45.89,50.09,54.55,61.37,63.99,75,14.76%,132,126,SAT,122680,47,3005207,
3587772,"Jalen Duren",,,DET,BKN,162844,1344765,,29,19.83,9.99,1.53,0,1.52,0.88,0.5,21.36,29.82,31.35,1.38,11.52,11.39,7.36,0,7.04,5.1,11.39,7.36,36.73,36.73,37.42,29.4,45.81,12.18,12.18,0,29.44,33.93,37.42,40.66,45.65,47.65,56.13,12.18%,132,126,SAT,179734,48,3587772,
6412876,"Ronald Holland II",,,DET,BKN,162844,1501942,,24.5,9.49,4.99,1.7,0.75,1.32,1.5,0.34,11.19,14.48,16.18,1.84,6.69,5.39,2.5,3.21,2.83,2.23,8.6,3.25,22.23,22.23,21.7,15.63,28.65,22.52,22.52,0,15.78,19.23,21.7,24.17,28.6,30.11,37.98,27.37%,132,126,SAT,368369,52,6412876,
6447997,"Daniss Jenkins",,,DET,BKN,162844,1182387,,19,8.19,2.13,3.19,1,1.11,0.96,0.05,11.38,10.32,13.51,1.01,5.32,4.82,1.81,2.83,2.03,1.56,7.65,2.81,17.45,17.45,17.6,11.84,24.07,4.98,4.98,0,11.9,15.12,17.6,19.83,24.05,25.53,32.97,2.12%,132,126,SAT,91330,53,6447997,
7032704,"Tolu Smith",,,DET,BKN,162844,1138674,,1,0.4,0.38,0.05,0,0.07,0.02,0.03,0.45,0.78,0.83,0.05,0.43,0.22,0.12,0,0.23,0.16,0.22,0.12,1.01,1.01,1.02,0.27,2.16,0,0,0,0,0,1.02,1.28,2.3,2.81,5.1,0.00%,132,126,SAT,90102,55,7032704,
13976,"Draymond Green",,,GSW,OKC,162848,468895,,27,8.42,5.47,4.74,1.33,2.06,0.77,0.39,13.16,13.89,18.63,1.16,10.21,4.02,1.64,4.18,1.64,1.14,8.2,2.97,23.51,23.51,24.37,17.7,31.82,6.13,6.13,0,17.41,21.39,24.37,27.11,31.83,33.82,42.52,5.48%,150,148,SAT,12401,61,13976,
18899,"Kristaps Porzingis",,,GSW,OKC,162848,877869,,17,11.19,3,1.12,1.27,0.99,0.4,0.57,12.31,14.19,15.31,0.97,4.12,4.78,2.21,3.35,3.57,2.94,8.13,3.48,18.39,18.39,18.7,12.73,25.57,0.08,0.08,0,12.89,16.17,18.7,21.23,25.52,27.29,35.63,0.54%,150,148,SAT,12577,62,18899,
3588138,"Gui Santos",,,GSW,OKC,162848,1391940,,29,11.82,5.38,3.05,1.9,1.78,1.47,0.57,14.87,17.2,20.25,2.04,8.43,4.4,2.25,5.27,2.41,1.64,9.67,4.15,27.19,27.19,27.32,19.95,35.55,6.23,6.23,0,20.05,24.06,27.32,30.58,35.59,37.85,47.37,2.69%,150,148,SAT,195274,64,3588138,
4878334,"Brandin Podziemski",,,GSW,OKC,162848,1324108,,32,14.98,7.22,3.97,2.29,2.05,1.31,0.29,18.95,22.2,26.17,1.6,11.19,7.03,3.05,6.25,2.63,1.99,13.28,5.34,32.35,32.35,33.58,25.35,42.8,23.17,23.17,0,25.5,30.05,33.58,37.11,42.67,44.97,55.3,18.26%,150,148,SAT,179628,65,4878334,
6412896,"Quinten Post",,,GSW,OKC,162848,1193672,,14.5,5.72,3.64,1.2,1.26,0.83,0.19,0.3,6.92,9.36,10.56,0.49,4.84,1.73,0.75,3.5,0.54,0.43,5.23,2.01,12.53,12.53,13.27,8.13,19.34,0.23,0.23,0,8.26,11.02,13.27,15.52,19.28,21.03,28.29,0.05%,150,148,SAT,92403,66,6412896,
8998311,"Will Richard",,,GSW,OKC,162848,1323578,,18,5.36,2.2,1.36,0.96,0.99,0.87,0.18,6.72,7.56,8.92,1.05,3.56,1.83,0.87,2.74,0.89,0.75,4.57,1.83,12.2,12.2,12.24,7.26,18.04,0.08,0.08,0,7.39,10.2,12.24,14.54,18.1,19.89,26.27,0.05%,150,148,SAT,180292,69,8998311,
1499,"Al Horford",,,GSW,OKC,162848,280587,,25.5,10.14,5.83,2.73,2.13,1.19,0.78,1.15,12.87,15.97,18.7,1.93,8.56,3.29,1.52,5.67,0.81,0.7,8.96,3.65,25.83,25.83,25.92,18.68,34.04,14.48,14.48,0,18.94,22.68,25.92,29.16,34.14,36.14,45.61,9.75%,150,148,SAT,12158,70,1499,
16825,"Seth Curry",,,GSW,OKC,162848,463135,,1,0.41,0.1,0.06,0.07,0.04,0.03,0,0.47,0.51,0.57,0.03,0.16,0.15,0.08,0.16,0.04,0.04,0.31,0.15,0.67,0.67,0.7,0.7,0.7,0,0,0,0.3,0.5,0.7,0.9,1.2,1.28,1.33,0.05%,150,148,SAT,12505,71,16825,
36041,"Gary Payton II",,,GSW,OKC,162848,846407,,18,8.6,3.2,1.38,0.84,1.71,1.05,0.24,9.98,11.8,13.18,1.29,4.58,5.1,2.81,2.55,0.73,0.46,7.65,3.65,16.67,16.67,16.82,11.06,23.3,1.09,1.09,0,10.88,14.1,16.82,19.05,23,24.74,31.91,0.05%,150,148,SAT,31188,72,36041,
409081,"De'Anthony Melton",,,GSW,OKC,162848,946801,,26,14.66,3.28,2.32,2.1,2.14,1.53,0.24,16.98,17.94,20.26,1.77,5.6,6.94,2.81,6.94,3.44,2.74,13.88,4.91,25.25,25.25,25.76,18.37,34.04,5.66,5.66,0,18.44,22.48,25.76,29.04,34.13,36.62,45.71,0.43%,150,148,SAT,75321,73,409081,
3888921,"Pat Spencer",,,GSW,OKC,162848,1176145,,17,6.33,1.78,3.5,0.66,1.26,0.87,0.1,9.83,8.11,11.61,0.97,5.28,4.18,1.79,1.91,1,0.78,6.09,2.45,15.37,15.37,15.45,10.12,21.46,0,0,0,10.22,13.21,15.45,17.69,21.43,22.93,29.16,0.44%,150,148,SAT,90408,75,3888921,
