PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
35215,Kris Dunn,5000,PG/SG,LAC,NOP,166060,698968,,31,10.21,5.02,5.08,1.61,1.76,2.04,0.17,15.29,15.23,20.31,2.21,10.1,4.97,2.29,4.53,1.05,0.79,9.5,3.9,28.72,28.72,28.51,5.7,40.51%,151,143,THURS,28005,87,35215,21.13,36.62,41.29,41.29,25.97,20.82,25.04,28.51,31.48,36.44,38.67,47.6,
36064,Derrick Jones Jr.,5300,SF/PF,LAC,NOP,166060,892925,,31.5,12.56,4,1.68,1.43,1,1.27,1.33,14.24,16.56,18.24,2.6,5.68,6.42,3.18,4.17,2.71,1.92,10.59,4.61,26.68,26.68,25.51,4.81,9.74%,151,143,THURS,31198,88,36064,18.51,33.25,13.97,13.97,9.89,18.58,22.29,25.51,28.48,33.68,35.42,44.09,
37823,John Collins,5700,PF/C,LAC,NOP,166060,880468,,28,15.81,6.63,1.56,1.43,1.37,1.01,0.56,17.37,22.44,24,1.57,8.19,7.89,4.3,3.42,3.58,2.91,11.31,5.73,29.45,29.45,29.82,5.23,21.92%,151,143,THURS,38281,89,37823,22.34,38.23,27.21,27.21,18.31,22.37,26.59,29.82,33.3,38.27,40.26,49.45,
37899,Bogdan Bogdanovic,3000,PG/SG,LAC,NOP,166060,830648,,4,2.02,0.58,0.64,0.38,0.29,0.1,0.01,2.66,2.6,3.24,0.11,1.22,0.78,0.31,1.08,0.31,0.27,1.86,0.69,3.72,3.72,3.97,1.32,0.54%,151,143,THURS,38384,90,37899,1.32,7.54,0,0,0,1.42,2.84,3.97,5.67,7.98,9.36,14.18,
3005227,Isaiah Jackson,4200,C,LAC,NOP,166060,1245934,,18,9.01,5.55,1.52,0,1.49,0.72,1.43,10.53,14.56,16.08,2.15,7.07,5.41,3.47,0,3.14,2.06,5.41,3.47,22.91,22.91,21.83,5.2,19.63%,151,143,THURS,70338,92,3005227,15.94,28.36,18.2,18.2,10.84,16.01,19.4,21.83,24.5,28.38,30.08,37.84,
4878391,Jordan Miller,4800,PG/SG,LAC,NOP,166060,1134092,,28,13.93,3.44,3.71,0.86,1.28,0.76,0.2,17.64,17.37,21.08,0.96,7.15,7.44,3.87,2.81,4.59,3.61,10.25,4.73,25.22,25.22,25.51,5.31,27.48%,151,143,THURS,89573,95,4878391,18.87,32.84,23.72,23.72,15.85,19.01,22.51,25.51,28.26,33.01,35.01,42.77,
6412955,Cam Christie,3000,SG,LAC,NOP,166060,1460155,,8,2.87,2.26,0.58,0.28,0.23,0.38,0.02,3.45,5.13,5.71,0.4,2.84,1.65,0.61,1.14,1.09,0.79,2.79,0.89,7.42,7.42,7.39,2.46,0.44%,151,143,THURS,289019,96,6412955,3.93,11.63,0,0,0,4.08,5.86,7.39,9.17,11.72,12.74,18.09,
8998366,Kobe Sanders,3200,SG/SF,LAC,NOP,166060,1231938,,21,7.34,2.35,2.19,1.22,1.18,0.85,0.14,9.53,9.69,11.88,0.99,4.54,3.1,1.39,3.04,1.09,0.89,6.14,2.61,15.24,15.24,15.56,4.86,12.65%,151,143,THURS,149027,99,8998366,9.96,22,10.1,10.1,6.88,9.79,13.05,15.56,18.07,22.09,23.59,31.12,
1227,LeBron James,7700,PF,LAL,MIA,166061,214152,Q,33.5,20.07,5.77,5.89,1.57,2.88,1.23,0.51,25.96,25.84,31.73,1.74,11.66,10.71,5.72,4.45,5.13,3.91,15.16,7.29,38.17,38.17,39.11,5.08,18.57%,152,137,THURS,12624,101,1227,30.46,48.48,17.11,17.11,14.87,30.48,35.3,39.11,42.92,48.54,50.79,60.95,
18567,Marcus Smart,4700,SG/SF,LAL,MIA,166061,697132,,32.5,9.08,2.37,2.74,1.6,1.16,1.66,0.42,11.82,11.45,14.19,2.08,5.11,3.24,1.28,4.69,2.15,1.71,7.93,2.88,21.11,21.11,20.53,4.37,1.61%,152,137,THURS,12548,102,18567,14.09,27.77,4.6,4.6,4.68,14.1,17.81,20.53,23.5,27.7,29.68,37.84,
37814,Luke Kennard,3600,PG/SG,LAL,MIA,166061,887661,,17.5,5.54,1.43,1.31,1.14,0.32,0.34,0.14,6.85,6.97,8.28,0.48,2.74,1.61,0.82,2.53,0.54,0.49,4.14,1.96,10.34,10.34,10.66,2.96,0.29%,152,137,THURS,38279,103,37814,5.88,16.4,0.08,0.08,0.13,5.84,8.63,10.66,12.94,16.24,18.02,24.37,
